stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9022005003302001,Grönäng,58.170200,14.577366,0,9021005003302000,A
9022005003302002,Grönäng,58.170255,14.577466,0,9021005003302000,B
9022005003303001,Grönlund Ödeshög,58.162060,14.572125,0,9021005003303000,A
9022005003303002,Grönlund Ödeshög,58.162767,14.572882,0,9021005003303000,B
9022005003304001,Vida Vättern,58.150908,14.568435,0,9021005003304000,A
9022005003304002,Vida Vättern,58.150855,14.568504,0,9021005003304000,B
9022005003305001,Stava Norra,58.141808,14.568071,0,9021005003305000,A
9022005003305002,Stava Norra,58.141746,14.568090,0,9021005003305000,B
9022005003306001,Stava Södra,58.135202,14.563649,0,9021005003306000,A
9022005003306002,Stava Södra,58.136094,14.564908,0,9021005003306000,B
9022005003310001,Stubbhagen,58.516991,15.059270,0,9021005003310000,A
9022005003310002,Stubbhagen,58.517090,15.059423,0,9021005003310000,B
9022005003311001,Golfbanan Motala,58.507857,15.064885,0,9021005003311000,A
9022005003311002,Golfbanan Motala,58.508529,15.064631,0,9021005003311000,B
9022005003312001,Sjökumla,58.498323,15.071381,0,9021005003312000,A
9022005003312002,Sjökumla,58.497349,15.072104,0,9021005003312000,B
9022005003318001,Lilla Harstad,58.322554,14.919223,0,9021005003318000,A
9022005003318002,Lilla Harstad,58.322608,14.919188,0,9021005003318000,B
9022005003321001,Karlebytorp,58.334432,14.940026,0,9021005003321000,A
9022005003321002,Karlebytorp,58.334596,14.940517,0,9021005003321000,B
9022005003322001,Appuna kyrka,58.342243,14.961622,0,9021005003322000,A
9022005003322002,Appuna kyrka,58.342217,14.961640,0,9021005003322000,B
9022005003323001,Appuna,58.344509,14.968979,0,9021005003323000,A
9022005003323002,Appuna,58.344492,14.968997,0,9021005003323000,B
9022005003324001,Valltorp,58.350956,14.981448,0,9021005003324000,A
9022005003324002,Valltorp,58.351002,14.981567,0,9021005003324000,B
9022005003327001,Mjärdevi Hogstad,58.339392,15.043661,0,9021005003327000,A
9022005003327002,Mjärdevi Hogstad,58.339571,15.043691,0,9021005003327000,B
9022005003341001,Hulje,58.333867,15.107556,0,9021005003341000,A
9022005003341002,Hulje,58.333657,15.108636,0,9021005003341000,B
9022005003342001,Skrukeby,58.332555,15.084708,0,9021005003342000,A
9022005003342002,Skrukeby,58.332537,15.083240,0,9021005003342000,B
9022005003343001,Gullringstorp,58.332632,15.076120,0,9021005003343000,A
9022005003343002,Gullringstorp,58.332590,15.075114,0,9021005003343000,B
9022005003344001,Vammelby,58.332854,15.063279,0,9021005003344000,A
9022005003344002,Vammelby,58.332845,15.061743,0,9021005003344000,B
9022005003345001,Kummelby,58.332089,15.046174,0,9021005003345000,A
9022005003345002,Kummelby,58.332070,15.046020,0,9021005003345000,B
9022005003346001,Västra Kummelby,58.332769,15.039638,0,9021005003346000,A
9022005003346002,Västra Kummelby,58.332742,15.039690,0,9021005003346000,B
9022005003347001,Långvägen,58.328926,15.021902,0,9021005003347000,A
9022005003347002,Långvägen,58.329404,15.023769,0,9021005003347000,B
9022005003348001,Rinnavägen,58.326607,15.012652,0,9021005003348000,A
9022005003348002,Rinnavägen,58.325944,15.009987,0,9021005003348000,B
9022005003349001,Källerydsvägen,58.324701,15.002284,0,9021005003349000,A
9022005003349002,Källerydsvägen,58.324824,15.003185,0,9021005003349000,B
9022005003350001,Sockendal,58.323503,14.994563,0,9021005003350000,A
9022005003350002,Sockendal,58.323532,14.994887,0,9021005003350000,B
9022005003351001,Blackstad,58.321704,14.982812,0,9021005003351000,A
9022005003351002,Blackstad,58.322015,14.985075,0,9021005003351000,B
9022005003352001,Utterstadsvägen,58.319489,14.967967,0,9021005003352000,A
9022005003352002,Utterstadsvägen,58.319689,14.969686,0,9021005003352000,B
9022005003353001,Vistad,58.317538,14.955386,0,9021005003353000,A
9022005003353002,Vistad,58.318018,14.958617,0,9021005003353000,B
9022005003354001,Nybble,58.316340,14.948078,0,9021005003354000,A
9022005003354002,Nybble,58.316304,14.948028,0,9021005003354000,B
9022005003355001,Prästgården,58.314978,14.939120,0,9021005003355000,A
9022005003355002,Prästgården,58.315047,14.940005,0,9021005003355000,B
9022005003356001,Vallsberg,58.313845,14.929559,0,9021005003356000,A
9022005003356002,Vallsberg,58.313865,14.929917,0,9021005003356000,B
9022005003357001,Folkungagården,58.312616,14.918124,0,9021005003357000,A
9022005003357002,Folkungagården,58.312607,14.918090,0,9021005003357000,B
9022005003358001,Östad,58.311586,14.905543,0,9021005003358000,A
9022005003358002,Östad,58.311587,14.905713,0,9021005003358000,B
9022005003359001,Skebyvägen,58.311031,14.895611,0,9021005003359000,A
9022005003359002,Skebyvägen,58.311052,14.897418,0,9021005003359000,B
9022005003360001,Tungelunda,58.310202,14.885157,0,9021005003360000,A
9022005003360002,Tungelunda,58.310013,14.882706,0,9021005003360000,B
9022005003361001,Bergslund,58.309484,14.876527,0,9021005003361000,A
9022005003361002,Bergslund,58.309439,14.876596,0,9021005003361000,B
9022005003362001,Haddestad,58.307472,14.860596,0,9021005003362000,A
9022005003362002,Haddestad,58.307293,14.859424,0,9021005003362000,B
9022005003363001,Bjursby,58.470320,15.704147,0,9021005003363000,A
9022005003363002,Bjursby,58.470230,15.704079,0,9021005003363000,B
9022005003364001,Bergsätter Östra Harg,58.471984,15.721297,0,9021005003364000,A
9022005003364002,Bergsätter Östra Harg,58.471993,15.721434,0,9021005003364000,B
9022005003366001,Östra Hargs vägkors,58.482615,15.737333,0,9021005003366000,A
9022005003366002,Östra Hargs vägkors,58.482525,15.737951,0,9021005003366000,B
9022005003366003,Östra Hargs vägkors,58.482723,15.737882,0,9021005003366000,C
9022005003371001,Mylinge,58.479769,15.757171,0,9021005003371000,A
9022005003371002,Mylinge,58.479688,15.757085,0,9021005003371000,B
9022005003372001,Bogetorp Östra Harg,58.472642,15.761996,0,9021005003372000,A
9022005003372002,Bogetorp Östra Harg,58.472624,15.761859,0,9021005003372000,B
9022005003373001,Knylinge,58.469447,15.764811,0,9021005003373000,A
9022005003373002,Knylinge,58.469429,15.764674,0,9021005003373000,B
9022005003374001,Ubbetorp,58.465687,15.770624,0,9021005003374000,A
9022005003374002,Ubbetorp,58.465597,15.770606,0,9021005003374000,B
9022005003375001,Klinttorp,58.444117,15.783077,0,9021005003375000,A
9022005003375002,Klinttorp,58.444063,15.782940,0,9021005003375000,B
9022005003376001,Skavestad,58.451523,15.782661,0,9021005003376000,A
9022005003376002,Skavestad,58.451514,15.782353,0,9021005003376000,B
9022005003377001,Industrigatan,57.825182,15.273519,0,9021005003377000,A
9022005003377002,Industrigatan,57.825369,15.273129,0,9021005003377000,B
9022005003378001,Österby gärde,57.825214,15.268285,0,9021005003378000,A
9022005003378002,Österby gärde,57.825230,15.267999,0,9021005003378000,B
9022005003379001,Österby gästgivaregård,57.824388,15.261969,0,9021005003379000,A
9022005003379002,Österby gästgivaregård,57.824426,15.262474,0,9021005003379000,B
9022005003380001,Broby,57.829380,15.239458,0,9021005003380000,A
9022005003380002,Broby,57.829331,15.238550,0,9021005003380000,B
9022005003381001,Stensnäs,57.825134,15.231800,0,9021005003381000,A
9022005003381002,Stensnäs,57.824258,15.230686,0,9021005003381000,B
9022005003382001,Lund Ydre,57.821248,15.228076,0,9021005003382000,A
9022005003382002,Lund Ydre,57.821103,15.227842,0,9021005003382000,B
9022005003383001,Forsnäs,57.813295,15.218882,0,9021005003383000,A
9022005003383002,Forsnäs,57.813709,15.219111,0,9021005003383000,B
9022005003384001,Ramelarp,57.806877,15.205951,0,9021005003384000,A
9022005003384002,Ramelarp,57.806831,15.205649,0,9021005003384000,B
9022005003385001,Hammerum,57.804547,15.195595,0,9021005003385000,A
9022005003385002,Hammerum,57.804608,15.195156,0,9021005003385000,B
9022005003386001,Ingeltorpsvägen,57.801730,15.177646,0,9021005003386000,A
9022005003386002,Ingeltorpsvägen,57.801697,15.176503,0,9021005003386000,B
9022005003387001,Rydbogatan,57.799466,15.152493,0,9021005003387000,A
9022005003387002,Rydbogatan,57.799860,15.152234,0,9021005003387000,B
9022005003388001,Västra Ryds kyrka,57.800711,15.143204,0,9021005003388000,A
9022005003388002,Västra Ryds kyrka,57.800680,15.142548,0,9021005003388000,B
9022005003389001,Viskarpsvägen,57.799903,15.139956,0,9021005003389000,A
9022005003389002,Viskarpsvägen,57.799787,15.138276,0,9021005003389000,B
9022005003390001,Bubbarp,57.787065,15.108553,0,9021005003390000,A
9022005003390002,Bubbarp,57.786983,15.108269,0,9021005003390000,B
9022005003391001,Tunarp,57.773152,15.112686,0,9021005003391000,A
9022005003391002,Tunarp,57.773142,15.112367,0,9021005003391000,B
9022005003392001,Arvebo,57.764531,15.119068,0,9021005003392000,A
9022005003392002,Arvebo,57.763840,15.119148,0,9021005003392000,B
9022005003394001,Stjärnorpsgatan,58.532118,15.045387,0,9021005003394000,A
9022005003394002,Stjärnorpsgatan,58.532118,15.045387,0,9021005003394000,B
9022005003396001,Örsättersfabriken,58.224567,15.968934,0,9021005003396000,A
9022005003396002,Örsättersfabriken,58.226158,15.967733,0,9021005003396000,B
9022005003397001,Borensbergs centrum,58.562692,15.281146,0,9021005003397000,A
9022005003397002,Borensbergs centrum,58.562228,15.281891,0,9021005003397000,B
9022005003398001,Kap Jocke,57.985114,15.655800,0,9021005003398000,A
9022005003398002,Kap Jocke,57.985149,15.655394,0,9021005003398000,B
9022005003402001,Regementsgatan,57.667827,14.974109,0,9021005003402000,A
9022005003402002,Regementsgatan,57.668677,14.973637,0,9021005003402000,B
9022005003403001,Övre Kopparhult,58.210291,15.549807,0,9021005003403000,A
9022005003403002,Övre Kopparhult,58.210192,15.549859,0,9021005003403000,B
9022005003404001,Sibbenhorva,58.207029,15.548351,0,9021005003404000,A
9022005003404002,Sibbenhorva,58.206966,15.548283,0,9021005003404000,B
9022005003405001,Klockargården,58.649779,16.647139,0,9021005003405000,A
9022005003405002,Klockargården,58.649824,16.647089,0,9021005003405000,B
9022005003406001,Prästgården,58.648935,16.640195,0,9021005003406000,A
9022005003406002,Prästgården,58.648963,16.640127,0,9021005003406000,B
9022005003409001,Gata,58.405656,15.379323,0,9021005003409000,A
9022005003409002,Gata,58.405728,15.379459,0,9021005003409000,B
9022005003422001,Broby skola,58.477502,16.308562,0,9021005003422000,A
9022005003423001,Gillberga Östra Skrukeby,58.495553,15.853215,0,9021005003423000,A
9022005003423002,Gillberga Östra Skrukeby,58.495606,15.853249,0,9021005003423000,B
9022005003425001,Prästängsskolan,57.666920,14.982307,0,9021005003425000,A
9022005003429001,Mantorps gård,58.400634,15.426861,0,9021005003429000,A
9022005003429002,Mantorps gård,58.400778,15.426859,0,9021005003429000,B
9022005003430001,Ledbergs kyrka,58.441131,15.447845,0,9021005003430000,A
9022005003430002,Ledbergs kyrka,58.441041,15.447692,0,9021005003430000,B
9022005003431001,Törnevalla gamla skola,58.452366,15.833050,0,9021005003431000,A
9022005003431002,Törnevalla gamla skola,58.452304,15.832964,0,9021005003431000,B
9022005003432001,Bävervägen,58.704190,15.822426,0,9021005003432000,A
9022005003432002,Bävervägen,58.703804,15.822098,0,9021005003432000,B
9022005003435001,Koppargården,58.189489,16.012857,0,9021005003435000,A
9022005003436001,Landeryds vårdbostäder,58.376775,15.721833,0,9021005003436000,A
9022005003436002,Landeryds vårdbostäder,58.376757,15.721799,0,9021005003436000,B
9022005003437001,Vårdcentralen Åtvidaberg,58.189489,16.012857,0,9021005003437000,A
9022005003437002,Vårdcentralen Åtvidaberg,58.189498,16.012874,0,9021005003437000,B
9022005003438001,Åkervägen,58.190586,16.006301,0,9021005003438000,A
